exercise_id,canonical_name,display_name,equipment_id_1,equipment_id_2,complexity_level,canonical_rating,primary_muscle,secondary_muscle,progression_id,regression_id,is_in_programme
EX001,Back Extension,Dumbbell Back Extension,EP010,EP047,2,60,Hamstrings,Glutes,,EX002,1
EX002,Back Extension,Bodyweight Back Extension,EP043,EP047,1,60,Hamstrings,Glutes,EX001,EX003,1
EX003,Back Extension,Back Extension Hold,EP043,EP047,All,60,Hamstrings,Glutes,EX002,,1
EX004,Straight Bar Curl,Barbell Curl,EP001,,2,60,Biceps,Forearms,,,1
EX005,Dumbbell Curl,Dumbbell Curl,EP010,,All,40,Biceps,Forearms,,,1
EX006,Hammer Curl,Dumbbell Hammer Curl,EP010,,All,40,Biceps,Forearms,,,1
EX007,Straight Bar Curl,Straight Bar Cable Curl,EP013,EP051,All,40,Biceps,Forearms,,,1
EX008,Preacher Curl,EZ-Bar Spider Curl,EP008,EP054,2,40,Biceps,Forearms,,,1
EX009,Standing Calf Raise,Standing Calf Raise,EP021,,All,20,Calves,,,,1
EX010,Seated Calf Raise,Seated Calf Raise,EP022,,All,20,Calves,,,,1
EX011,Standing Calf Raise,Standing Calf Raise,EP035,,All,20,Calves,,,,1
EX012,Seated Calf Raise,Seated Calf Raise,EP036,,All,20,Calves,,,,1
EX013,Standing Calf Raise,Elevated Dumbbell Calf Raise,EP010,,2,20,Calves,,EX015,EX014,1
EX014,Standing Calf Raise,Kettlebell Calf Raise,EP012,,1,20,Calves,,EX013,EX019,1
EX015,Standing Calf Raise,Single Leg Dumbbell Calf Raise,EP010,,2,20,Calves,,,EX013,1
EX016,Standing Calf Raise,Single Leg Kettlebell Calf Raise,EP012,,2,20,Calves,,,,1
EX017,Calf Press,Calf Press,EP017,,All,20,Calves,,,,1
EX018,Calf Press,Calf Press,EP031,,All,20,Calves,,,,1
EX019,Standing Calf Raise,Elevated Bodyweight Calf Raise,EP043,,1,20,Calves,,EX014,,1
EX020,Dumbbell Fly,Dumbbell Chest Fly,EP010,EP044,All,40,Chest,Shoulders,,,1
EX021,Cable Fly,Cable Chest Fly,EP014,EP053,All,40,Chest,Shoulders,,,1
EX022,Bench Chest Press,Barbell Bench Press,EP001,EP003,2,100,Chest,Triceps,,,1
EX023,Bench Chest Press,Dumbbell Bench Press,EP010,EP044,All,80,Chest,Triceps,,,1
EX024,Bench Chest Press,Dumbbell Floor Press,EP010,,1,60,Chest,Triceps,,,1
