exercise_id,display_name,supplier_id,filename,bunny_guid
EX001,Dumbbell Back Extension,732812,73281201-Dumbbell-Hyperextension-(male)_Hips-FIX2_.mp4,620dd5e8-f79e-485a-89d6-ac941a2c2f5d
EX002,Bodyweight Back Extension,581312,58131201-45-degree-Hyperextension-(arms-in-front-of-chest)-.mp4,7eddd7f4-9ac0-420a-89e4-6e758313a6d9
EX003,Back Extension Hold,1102612,110261201-45-degree-Hyperextension-Hold-(arms-in-front-of-c.mp4,2d1347b4-4bfe-4c8a-a63d-2958774cd6fa
EX004,Barbell Curl,003112,00311201-Barbell-Curl_Upper-Arms-FIX2_.mp4,dba1131f-e5f4-4abc-8136-9743c5ff3e95
EX005,Dumbbell Curl,041612,04161201-Dumbbell-Standing-Biceps-Curl_Upper-Arms-FIX2_.mp4,0420576a-c724-4011-bbd5-c00697049643
EX006,Dumbbell Hammer Curl,031312,03131201-Dumbbell-Hammer-Curl_Forearms_.mp4,06cb4735-07e1-4c3d-87d3-46abd446c33d
EX007,Straight Bar Cable Curl,086812,08681201-Cable-Curl-(male)_Upper-Arms-FIX_.mp4,40ee99fd-e11d-482d-9d4c-d9a9da737d27
EX008,EZ-Bar Spider Curl,162812,16281201-EZ-Barbell-Spider-Curl_Upper-Arms-FIX_.mp4,8d41279c-bb55-425c-a287-131f5bfad217
EX009,Standing Calf Raise,060512,06051201-Lever-Standing-Calf-Raise_Calf-FIX_.mp4,67f0875f-b307-446f-81aa-287b89688563
EX010,Seated Calf Raise,231512,23151201-Lever-Rotary-Calf_Calves.mp4,2f93371d-87e5-4d24-a3a8-d6a31acde876
EX011,Standing Calf Raise,1102812,110281201-Lever-Standing-Calf-Raise-(plate-loaded)-(male)_C.mp4,a88d8236-0c0a-43e3-9713-1c9a6e956a02
EX012,Seated Calf Raise,310612,31061201-Lever-Seated-Calf-Raise-(plate-loaded)-(female)_Calves.mp4,cc0ae6ec-d492-471a-8849-231be52576fc
EX013,Elevated Dumbbell Calf Raise,041712,04171201-Dumbbell-Standing-Calf-Raise_Calves-FIX_.mp4,7177c25f-d36d-4c44-bc5c-c0639defcb4b
EX014,Kettlebell Calf Raise,585412,58541201-Kettlebell-Standing-Calf-Raise_Calves_.mp4,9950b543-9d9d-40c6-908a-a4ad10cd8833
